age,genre,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,departement_Consulting,departement_Ressources Humaines,statut_marital_Divorcé(e),statut_marital_Marié(e),poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,mobilite_interne_ratio,ratio_anciennete,delta_evaluation
41,1,5993,8,8,6,4,2,2,4,1,1,3,1,11.0,0,0,1,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.6666665555555741,0.42857139795918586,0
49,0,5130,1,10,10,7,3,2,2,4,3,4,0,23.0,1,3,8,1,2,1,7,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.699999930000007,0.9090908264462886,2
37,0,2090,6,7,0,0,4,1,3,2,3,3,1,15.0,0,3,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
33,1,2909,1,8,8,7,4,1,3,3,3,3,1,11.0,0,3,3,4,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8749998906250137,0.8888887901234679,0
27,0,3468,9,6,2,2,1,1,2,4,3,3,0,12.0,1,3,2,1,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.99999950000025,0.1818181652892577,0
32,0,3068,0,8,7,7,4,1,4,3,2,3,0,13.0,0,2,2,2,2,3,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.9999998571428775,0.9999998571428775,0
59,1,2670,4,12,1,0,3,1,1,1,2,4,1,20.0,3,3,3,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.199999960000008,0
30,0,2693,1,1,1,0,4,1,3,2,3,4,0,22.0,1,2,24,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.499999750000125,1
38,0,9526,0,10,9,7,4,3,3,2,3,4,0,21.0,0,2,23,3,2,1,8,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.7777776913580343,0.9999998888889013,2
36,0,5237,6,17,7,7,3,2,3,2,2,3,0,13.0,2,3,27,3,1,7,7,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9999998571428775,0.5384614970414233,0
35,0,2426,0,6,5,4,1,1,2,3,3,3,0,13.0,1,5,16,3,1,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.799999840000032,0.99999980000004,-1
29,1,4193,0,10,9,5,4,2,3,4,3,3,1,12.0,0,3,15,2,1,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5555554938271674,0.9999998888889013,1
31,0,2911,1,5,5,2,1,1,3,4,2,3,0,17.0,1,1,26,1,1,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.399999920000016,0.8333331944444675,0
34,0,2661,0,3,2,2,2,1,4,3,3,3,0,11.0,1,2,19,2,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.99999950000025,0.99999950000025,0
28,0,2028,5,6,4,2,3,1,3,2,3,3,1,14.0,0,4,24,3,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.49999987500003124,0.44444439506173394,1
29,1,9980,1,10,10,9,2,3,1,3,3,3,0,11.0,1,1,21,4,1,8,8,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.8999999100000091,0.9090908264462886,-1
32,0,3298,0,7,6,2,1,1,2,4,2,3,1,12.0,2,5,5,2,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.33333327777778704,0.9999998333333611,-1
22,0,2935,1,1,1,0,4,1,4,2,2,3,1,13.0,2,2,16,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.499999750000125,-1
53,1,15427,2,31,25,8,1,4,4,3,3,3,0,16.0,0,3,2,4,1,3,7,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.3199999872000005,0.9259258916323744,1
38,0,3944,5,6,3,2,4,1,4,3,3,3,1,11.0,0,3,2,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6666664444445185,0.3749999531250059,0
24,1,4011,0,5,4,2,1,2,3,4,2,3,0,18.0,1,5,11,2,0,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.49999987500003124,0.9999997500000625,-1
36,0,3407,7,10,5,3,3,1,1,2,3,4,0,23.0,0,4,9,4,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.599999880000024,0.41666663194444736,2
34,1,11994,0,13,12,6,1,3,2,3,3,3,0,11.0,0,4,7,4,1,2,11,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.4999999583333368,0.9999999166666736,0
21,0,1232,1,0,0,0,3,1,4,4,3,3,0,14.0,0,6,15,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0
34,0,2960,2,8,4,2,2,1,1,3,3,3,0,11.0,0,2,6,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.49999987500003124,0.6666665555555741,0
