id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,eval_number,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,code_sondage,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
1,41,F,5993,Célibataire,Commercial,Cadre Commercial,8,80,8,6,4,2,3,2,4,1,1,1,3,Oui,11 %,Oui,0,0,1,1,1,2,Infra & Cloud,Y,Occasionnel,0,5
2,49,M,5130,Marié(e),Consulting,Assistant de Direction,1,80,10,10,7,3,2,2,2,4,3,2,4,Non,23 %,Non,1,3,1,2,8,1,Infra & Cloud,Y,Frequent,1,7
4,37,M,2090,Célibataire,Consulting,Consultant,6,80,7,0,0,4,2,1,3,2,3,4,3,Oui,15 %,Oui,0,3,1,4,2,2,Autre,Y,Occasionnel,0,0
5,33,F,2909,Marié(e),Consulting,Assistant de Direction,1,80,8,8,7,4,3,1,3,3,3,5,3,Oui,11 %,Non,0,3,1,5,3,4,Infra & Cloud,Y,Frequent,3,0
7,27,M,3468,Marié(e),Consulting,Consultant,9,80,6,2,2,1,3,1,2,4,3,7,3,Non,12 %,Non,1,3,1,7,2,1,Transformation Digitale,Y,Occasionnel,2,2
8,32,M,3068,Célibataire,Consulting,Consultant,0,80,8,7,7,4,3,1,4,3,2,8,3,Non,13 %,Non,0,2,1,8,2,2,Infra & Cloud,Y,Frequent,3,6
10,59,F,2670,Marié(e),Consulting,Consultant,4,80,12,1,0,3,4,1,1,1,2,10,4,Oui,20 %,Non,3,3,1,10,3,3,Transformation Digitale,Y,Occasionnel,0,0
11,30,M,2693,Divorcé(e),Consulting,Consultant,1,80,1,1,0,4,3,1,3,2,3,11,4,Non,22 %,Non,1,2,1,11,24,1,Infra & Cloud,Y,Occasionnel,0,0
12,38,M,9526,Célibataire,Consulting,Tech Lead,0,80,10,9,7,4,2,3,3,2,3,12,4,Non,21 %,Non,0,2,1,12,23,3,Infra & Cloud,Y,Frequent,1,8
13,36,M,5237,Marié(e),Consulting,Manager,6,80,17,7,7,3,3,2,3,2,2,13,3,Non,13 %,Non,2,3,1,13,27,3,Transformation Digitale,Y,Occasionnel,7,7
14,35,M,2426,Marié(e),Consulting,Consultant,0,80,6,5,4,1,4,1,2,3,3,14,3,Non,13 %,Non,1,5,1,14,16,3,Transformation Digitale,Y,Occasionnel,0,3
15,29,F,4193,Célibataire,Consulting,Consultant,0,80,10,9,5,4,2,2,3,4,3,15,3,Oui,12 %,Non,0,3,1,15,15,2,Infra & Cloud,Y,Occasionnel,0,8
16,31,M,2911,Divorcé(e),Consulting,Assistant de Direction,1,80,5,5,2,1,3,1,3,4,2,16,3,Non,17 %,Non,1,1,1,16,26,1,Infra & Cloud,Y,Occasionnel,4,3
18,34,M,2661,Divorcé(e),Consulting,Consultant,0,80,3,2,2,2,3,1,4,3,3,18,3,Non,11 %,Non,1,2,1,18,19,2,Transformation Digitale,Y,Occasionnel,1,2
19,28,M,2028,Célibataire,Consulting,Consultant,5,80,6,4,2,3,2,1,3,2,3,19,3,Oui,14 %,Oui,0,4,1,19,24,3,Infra & Cloud,Y,Occasionnel,0,3
20,29,F,9980,Divorcé(e),Consulting,Tech Lead,1,80,10,10,9,2,4,3,1,3,3,20,3,Non,11 %,Non,1,1,1,20,21,4,Infra & Cloud,Y,Occasionnel,8,8
21,32,M,3298,Divorcé(e),Consulting,Assistant de Direction,0,80,7,6,2,1,4,1,2,4,2,21,3,Oui,12 %,Non,2,5,1,21,5,2,Infra & Cloud,Y,Occasionnel,0,5
22,22,M,2935,Divorcé(e),Consulting,Consultant,1,80,1,1,0,4,4,1,4,2,2,22,3,Oui,13 %,Non,2,2,1,22,16,2,Transformation Digitale,Y,Aucun,0,0
23,53,F,15427,Marié(e),Commercial,Senior Manager,2,80,31,25,8,1,2,4,4,3,3,23,3,Non,16 %,Non,0,3,1,23,2,4,Infra & Cloud,Y,Occasionnel,3,7
24,38,M,3944,Célibataire,Consulting,Assistant de Direction,5,80,6,3,2,4,3,1,4,3,3,24,3,Oui,11 %,Non,0,3,1,24,2,3,Infra & Cloud,Y,Occasionnel,1,2
26,24,F,4011,Divorcé(e),Consulting,Tech Lead,0,80,5,4,2,1,4,2,3,4,2,26,3,Non,18 %,Non,1,5,1,26,11,2,Autre,Y,Aucun,1,3
27,36,M,3407,Célibataire,Commercial,Représentant Commercial,7,80,10,5,3,3,2,1,1,2,3,27,4,Non,23 %,Oui,0,4,1,27,9,4,Infra & Cloud,Y,Occasionnel,0,3
28,34,F,11994,Célibataire,Consulting,Directeur Technique,0,80,13,12,6,1,3,3,2,3,3,28,3,Non,11 %,Non,0,4,1,28,7,4,Infra & Cloud,Y,Occasionnel,2,11
30,21,M,1232,Célibataire,Consulting,Assistant de Direction,1,80,0,0,0,3,3,1,4,4,3,30,3,Non,14 %,Non,0,6,1,30,15,2,Infra & Cloud,Y,Occasionnel,0,0
31,34,M,2960,Célibataire,Consulting,Assistant de Direction,2,80,8,4,2,2,3,1,1,3,3,31,3,Non,11 %,Oui,0,2,1,31,6,1,Transformation Digitale,Y,Occasionnel,1,3
32,53,F,19094,Divorcé(e),Consulting,Senior Manager,4,80,26,14,13,3,3,5,3,4,2,32,3,Non,11 %,Non,1,3,1,32,5,3,Autre,Y,Occasionnel,4,8
33,32,F,3919,Célibataire,Consulting,Assistant de Direction,1,80,10,10,2,2,1,1,1,2,3,33,4,Oui,22 %,Oui,0,5,1,33,16,1,Infra & Cloud,Y,Frequent,6,7
35,42,M,6825,Marié(e),Commercial,Cadre Commercial,0,80,10,9,7,3,3,2,2,4,3,35,3,Non,11 %,Non,1,2,1,35,8,4,Marketing,Y,Occasionnel,4,2
36,44,F,10248,Marié(e),Consulting,Manager,3,80,24,22,6,1,2,3,4,4,3,36,3,Non,14 %,Non,1,4,1,36,7,4,Transformation Digitale,Y,Occasionnel,5,17
38,46,F,18947,Célibataire,Commercial,Senior Manager,3,80,22,2,2,2,3,5,1,4,2,38,3,Non,12 %,Non,0,2,1,38,2,4,Marketing,Y,Occasionnel,2,1
39,33,M,2496,Célibataire,Consulting,Consultant,4,80,7,1,1,3,3,1,4,4,3,39,3,Non,11 %,Non,0,3,1,39,2,3,Transformation Digitale,Y,Occasionnel,0,0
40,44,M,6465,Marié(e),Consulting,Manager,2,80,9,4,2,4,3,2,4,4,4,40,3,Oui,13 %,Non,0,5,1,40,10,4,Autre,Y,Occasionnel,1,3
41,30,M,2206,Célibataire,Consulting,Consultant,1,80,10,10,0,4,2,1,3,1,3,41,3,Non,13 %,Non,0,5,1,41,9,2,Transformation Digitale,Y,Occasionnel,1,8
42,39,M,2086,Marié(e),Commercial,Représentant Commercial,3,80,19,1,0,4,3,2,4,3,4,42,3,Non,14 %,Oui,1,6,1,42,5,3,Entrepreunariat,Y,Occasionnel,0,0
45,24,M,2293,Marié(e),Consulting,Assistant de Direction,2,80,6,2,0,2,3,1,4,1,2,45,3,Oui,16 %,Oui,1,2,1,45,1,3,Transformation Digitale,Y,Occasionnel,2,0
46,43,F,2645,Divorcé(e),Consulting,Assistant de Direction,1,80,6,5,3,4,4,1,3,4,2,46,3,Non,12 %,Non,2,3,1,46,2,2,Transformation Digitale,Y,Occasionnel,1,4
47,50,M,2683,Marié(e),Commercial,Représentant Commercial,1,80,3,3,2,1,2,1,3,3,3,47,3,Oui,14 %,Oui,0,2,1,47,3,2,Marketing,Y,Occasionnel,0,2
49,35,F,2014,Marié(e),Commercial,Représentant Commercial,1,80,2,2,2,4,3,1,4,1,3,49,3,Non,13 %,Non,0,3,1,49,2,3,Marketing,Y,Occasionnel,2,2
51,36,F,3419,Marié(e),Consulting,Assistant de Direction,9,80,6,1,1,2,2,1,1,4,4,51,3,Oui,14 %,Non,1,3,1,51,5,4,Infra & Cloud,Y,Occasionnel,0,0
52,33,F,5376,Marié(e),Commercial,Cadre Commercial,2,80,10,5,3,3,4,2,1,1,3,52,3,Non,19 %,Non,2,3,1,52,1,3,Infra & Cloud,Y,Frequent,1,3
53,35,M,1951,Divorcé(e),Consulting,Consultant,1,80,1,1,0,3,3,1,4,3,3,53,3,Non,12 %,Non,1,3,1,53,4,2,Autre,Y,Occasionnel,0,0
54,27,F,2341,Divorcé(e),Consulting,Consultant,1,80,1,1,0,4,3,1,1,4,3,54,3,Non,13 %,Non,1,6,1,54,2,4,Infra & Cloud,Y,Occasionnel,0,0
55,26,M,2293,Célibataire,Consulting,Consultant,1,80,1,1,0,1,1,1,3,3,2,55,3,Non,12 %,Oui,0,2,1,55,25,3,Infra & Cloud,Y,Occasionnel,0,1
56,27,M,8726,Célibataire,Commercial,Cadre Commercial,1,80,9,9,8,4,3,3,3,4,3,56,3,Non,15 %,Non,0,0,1,56,8,3,Infra & Cloud,Y,Frequent,1,7
57,30,F,4011,Célibataire,Consulting,Consultant,1,80,12,12,8,3,3,2,4,4,3,57,4,Non,23 %,Non,0,2,1,57,1,2,Transformation Digitale,Y,Frequent,3,7
58,41,F,19545,Marié(e),Consulting,Directeur Technique,1,80,23,22,15,2,3,5,3,4,3,58,3,Non,12 %,Oui,0,0,1,58,12,3,Entrepreunariat,Y,Occasionnel,15,8
60,34,M,4568,Célibataire,Commercial,Cadre Commercial,0,80,10,9,5,2,3,2,3,3,3,60,4,Non,20 %,Non,0,2,1,60,23,4,Marketing,Y,Aucun,8,7
61,37,M,3022,Marié(e),Consulting,Assistant de Direction,4,80,8,1,0,2,3,1,2,1,3,61,4,Non,21 %,Non,0,1,1,61,19,2,Infra & Cloud,Y,Occasionnel,0,0
62,46,M,5772,Célibataire,Commercial,Cadre Commercial,4,80,14,9,6,1,3,2,4,3,3,62,4,Oui,21 %,Non,0,4,1,62,5,4,Marketing,Y,Frequent,0,8
63,35,M,2269,Marié(e),Consulting,Consultant,1,80,1,1,0,4,4,1,4,4,3,63,3,Non,19 %,Non,0,2,1,63,8,1,Infra & Cloud,Y,Occasionnel,0,1
64,48,M,5381,Célibataire,Consulting,Consultant,9,80,23,1,0,1,2,3,3,4,3,64,3,Oui,13 %,Oui,0,2,1,64,1,2,Infra & Cloud,Y,Occasionnel,0,0
65,28,M,3441,Célibataire,Consulting,Consultant,1,80,2,2,2,3,3,1,3,3,2,65,3,Oui,13 %,Oui,0,3,1,65,5,4,Entrepreunariat,Y,Occasionnel,2,2
68,44,F,5454,Divorcé(e),Commercial,Cadre Commercial,5,80,9,4,3,2,3,2,1,3,2,68,4,Oui,21 %,Non,1,2,1,68,1,5,Marketing,Y,Occasionnel,1,3
70,35,M,9884,Marié(e),Consulting,Manager,2,80,10,4,0,3,2,3,1,3,3,70,3,Oui,13 %,Non,1,3,1,70,11,2,Transformation Digitale,Y,Aucun,2,3
72,26,F,4157,Marié(e),Commercial,Cadre Commercial,7,80,5,2,2,3,2,2,4,3,2,72,3,Oui,19 %,Non,1,2,1,72,23,3,Marketing,Y,Occasionnel,0,0
73,33,F,13458,Célibataire,Consulting,Directeur Technique,1,80,15,15,14,1,3,3,4,3,3,73,3,Oui,12 %,Non,0,1,1,73,1,2,Infra & Cloud,Y,Frequent,8,12
74,35,M,9069,Marié(e),Commercial,Cadre Commercial,1,80,9,9,8,2,3,3,1,4,2,74,4,Non,22 %,Non,1,3,1,74,18,5,Infra & Cloud,Y,Frequent,1,8
75,35,F,4014,Marié(e),Consulting,Consultant,3,80,4,2,2,3,3,1,1,3,3,75,3,Oui,15 %,Non,1,3,1,75,23,4,Transformation Digitale,Y,Occasionnel,2,2
76,31,M,5915,Divorcé(e),Consulting,Consultant,3,80,10,7,7,4,3,2,4,4,2,76,4,Non,22 %,Non,1,3,1,76,7,4,Infra & Cloud,Y,Occasionnel,1,7
77,37,M,5993,Divorcé(e),Consulting,Tech Lead,1,80,7,7,5,1,2,2,3,3,4,77,3,Non,18 %,Non,1,2,1,77,1,4,Infra & Cloud,Y,Occasionnel,0,7
78,32,M,6162,Marié(e),Consulting,Tech Lead,1,80,9,9,8,1,3,2,4,2,3,78,4,Oui,22 %,Non,1,3,1,78,1,3,Transformation Digitale,Y,Occasionnel,7,8
79,38,F,2406,Célibataire,Consulting,Consultant,1,80,10,10,3,4,3,2,4,4,3,79,3,Non,11 %,Non,0,2,1,79,29,5,Infra & Cloud,Y,Frequent,9,9
80,50,F,18740,Divorcé(e),Consulting,Directeur Technique,5,80,29,27,3,2,2,5,3,4,2,80,3,Oui,12 %,Non,1,2,1,80,7,2,Transformation Digitale,Y,Occasionnel,13,8
81,59,F,7637,Célibataire,Commercial,Cadre Commercial,7,80,28,21,16,1,3,3,1,4,2,81,3,Non,11 %,Non,0,3,1,81,25,3,Infra & Cloud,Y,Occasionnel,7,9
83,36,F,10096,Divorcé(e),Consulting,Manager,1,80,17,17,14,3,3,3,3,2,3,83,3,Non,13 %,Non,3,2,1,83,8,3,Entrepreunariat,Y,Occasionnel,12,8
84,55,F,14756,Divorcé(e),Consulting,Senior Manager,2,80,21,5,0,4,3,4,3,3,3,84,3,Oui,14 %,Non,3,2,1,84,8,3,Transformation Digitale,Y,Occasionnel,0,2
85,36,M,6499,Célibataire,Consulting,Tech Lead,1,80,6,6,5,2,2,2,2,3,3,85,3,Non,13 %,Non,0,3,1,85,11,3,Infra & Cloud,Y,Frequent,0,3
86,45,M,9724,Divorcé(e),Consulting,Assistant de Direction,2,80,25,1,0,2,3,3,1,3,3,86,3,Non,17 %,Non,1,2,1,86,7,3,Infra & Cloud,Y,Occasionnel,0,0
88,35,M,2194,Marié(e),Consulting,Assistant de Direction,4,80,5,3,2,2,3,1,1,4,2,88,3,Non,13 %,Non,1,2,1,88,1,3,Transformation Digitale,Y,Frequent,1,2
90,36,M,3388,Marié(e),Consulting,Assistant de Direction,0,80,2,1,0,4,2,1,3,1,2,90,3,Oui,17 %,Oui,1,0,1,90,9,3,Transformation Digitale,Y,Occasionnel,0,0
91,59,F,5473,Célibataire,Commercial,Cadre Commercial,7,80,20,4,3,1,2,2,3,4,2,91,3,Non,11 %,Non,0,2,1,91,1,1,Infra & Cloud,Y,Frequent,1,3
94,29,M,2703,Marié(e),Consulting,Assistant de Direction,0,80,6,5,4,3,3,1,2,4,3,94,4,Non,23 %,Non,1,3,1,94,2,3,Infra & Cloud,Y,Occasionnel,0,4
95,31,M,2501,Célibataire,Consulting,Assistant de Direction,1,80,1,1,1,3,3,1,2,2,3,95,3,Non,17 %,Non,0,4,1,95,1,4,Transformation Digitale,Y,Occasionnel,1,0
96,32,M,6220,Marié(e),Consulting,Assistant de Direction,1,80,10,10,4,2,3,2,2,2,3,96,3,Non,17 %,Non,2,3,1,96,1,3,Infra & Cloud,Y,Occasionnel,0,9
97,36,F,3038,Marié(e),Consulting,Consultant,3,80,5,1,0,2,4,1,4,2,3,97,3,Non,12 %,Non,0,3,1,97,6,3,Infra & Cloud,Y,Occasionnel,0,0
98,31,F,4424,Célibataire,Consulting,Tech Lead,1,80,11,11,7,3,3,2,4,4,3,98,4,Non,23 %,Non,0,2,1,98,8,4,Infra & Cloud,Y,Occasionnel,1,8
100,35,M,4312,Célibataire,Commercial,Cadre Commercial,0,80,16,15,13,3,2,2,1,2,3,100,3,Non,14 %,Non,0,2,1,100,1,4,Marketing,Y,Occasionnel,2,8
101,45,M,13245,Marié(e),Consulting,Directeur Technique,4,80,17,0,0,4,3,3,1,2,4,101,3,Oui,14 %,Non,0,3,1,101,6,4,Autre,Y,Occasionnel,0,0
102,37,M,13664,Célibataire,Consulting,Directeur Technique,4,80,16,5,2,1,3,3,3,1,4,102,3,Non,13 %,Non,0,3,1,102,7,4,Transformation Digitale,Y,Occasionnel,0,2
103,46,M,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,80,16,4,2,2,3,2,2,4,3,103,4,Oui,22 %,Non,1,2,1,103,5,2,Transformation Digitale,Y,Occasionnel,0,2
104,30,M,5126,Marié(e),Consulting,Consultant,1,80,10,10,8,4,2,2,4,3,2,104,3,Oui,12 %,Non,2,1,1,104,1,1,Infra & Cloud,Y,Occasionnel,3,0
105,35,M,2859,Célibataire,Consulting,Assistant de Direction,1,80,6,6,4,2,2,1,3,1,3,105,3,Non,18 %,Non,0,3,1,105,1,3,Transformation Digitale,Y,Occasionnel,0,4
106,55,M,10239,Marié(e),Commercial,Cadre Commercial,3,80,24,1,0,1,3,3,4,4,3,106,3,Non,14 %,Non,1,4,1,106,1,2,Infra & Cloud,Y,Occasionnel,1,0
107,38,F,5329,Divorcé(e),Consulting,Assistant de Direction,7,80,17,13,11,2,1,2,4,4,3,107,3,Oui,12 %,Non,3,3,1,107,6,3,Transformation Digitale,Y,Aucun,1,9
110,34,M,4325,Marié(e),Consulting,Tech Lead,1,80,5,5,2,1,3,2,2,3,3,110,3,Non,15 %,Non,0,2,1,110,1,2,Transformation Digitale,Y,Occasionnel,1,3
112,56,M,7260,Célibataire,Consulting,Tech Lead,4,80,37,6,4,4,1,3,4,1,2,112,3,Non,11 %,Non,0,3,1,112,7,3,Infra & Cloud,Y,Occasionnel,0,2
113,23,M,2322,Divorcé(e),Commercial,Représentant Commercial,3,80,3,0,0,3,3,1,1,3,3,113,3,Non,13 %,Non,1,3,1,113,2,1,Entrepreunariat,Y,Occasionnel,0,0
116,51,M,2075,Marié(e),Consulting,Consultant,3,80,10,4,2,4,3,1,4,2,3,116,4,Non,23 %,Non,2,4,1,116,9,4,Infra & Cloud,Y,Occasionnel,0,3
117,30,M,4152,Marié(e),Consulting,Manager,1,80,11,11,10,3,2,2,4,1,3,117,3,Non,19 %,Non,3,3,1,117,2,3,Infra & Cloud,Y,Occasionnel,10,8
118,46,M,9619,Célibataire,Commercial,Cadre Commercial,1,80,9,9,8,3,2,3,4,4,3,118,3,Non,16 %,Oui,0,3,1,118,9,2,Transformation Digitale,Y,Occasionnel,4,7
119,40,M,13503,Marié(e),Consulting,Manager,1,80,22,22,3,3,2,4,2,4,2,119,4,Non,22 %,Non,1,3,1,119,1,4,Infra & Cloud,Y,Frequent,11,11
120,51,M,5441,Célibataire,Commercial,Cadre Commercial,0,80,11,10,7,3,3,2,4,4,1,120,4,Oui,22 %,Non,0,2,1,120,21,4,Marketing,Y,Occasionnel,1,0
121,30,F,5209,Divorcé(e),Commercial,Cadre Commercial,1,80,11,11,8,3,2,2,2,2,2,121,3,Oui,12 %,Non,3,4,1,121,4,2,Transformation Digitale,Y,Occasionnel,2,7
124,46,M,10673,Marié(e),Consulting,Manager,2,80,21,10,9,3,2,3,1,3,2,124,3,Oui,13 %,Non,1,5,1,124,1,3,Transformation Digitale,Y,Frequent,9,5
125,32,M,5010,Célibataire,Commercial,Cadre Commercial,1,80,12,11,8,2,3,2,3,1,3,125,3,Non,16 %,Non,0,0,1,125,6,4,Transformation Digitale,Y,Occasionnel,5,7
126,54,F,13549,Marié(e),Consulting,Directeur Technique,9,80,16,4,3,1,3,3,3,1,1,126,3,Non,12 %,Non,1,5,1,126,2,4,Entrepreunariat,Y,Occasionnel,0,3
128,24,F,4999,Marié(e),Commercial,Cadre Commercial,0,80,4,3,2,1,3,2,3,1,2,128,4,Non,21 %,Non,1,2,1,128,3,2,Autre,Y,Occasionnel,0,2
129,28,M,4221,Marié(e),Commercial,Cadre Commercial,1,80,5,5,4,2,3,2,3,2,4,129,3,Non,15 %,Non,0,3,1,129,4,3,Transformation Digitale,Y,Aucun,0,4
131,58,M,13872,Célibataire,Commercial,Cadre Commercial,0,80,38,37,10,4,3,4,3,3,2,131,3,Non,13 %,Non,0,1,1,131,10,4,Transformation Digitale,Y,Occasionnel,1,8
132,44,M,2042,Marié(e),Consulting,Consultant,4,80,17,3,2,2,3,2,2,3,4,132,3,Non,12 %,Non,1,3,1,132,23,3,Transformation Digitale,Y,Aucun,1,2
133,37,M,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,80,7,3,2,3,3,1,1,4,3,133,4,Oui,22 %,Oui,0,3,1,133,6,4,Ressources Humaines,Y,Occasionnel,0,2
134,32,M,2956,Célibataire,Consulting,Assistant de Direction,1,80,1,1,0,4,3,1,1,4,3,134,3,Non,13 %,Non,0,2,1,134,1,1,Infra & Cloud,Y,Occasionnel,0,0
137,20,F,2926,Célibataire,Consulting,Consultant,1,80,1,1,0,4,2,1,4,2,3,137,3,Oui,18 %,Oui,0,5,1,137,6,3,Infra & Cloud,Y,Frequent,1,0
138,34,F,4809,Célibataire,Consulting,Assistant de Direction,1,80,16,16,13,1,3,2,3,3,3,138,3,Non,14 %,Non,0,3,1,138,6,4,Autre,Y,Occasionnel,2,10
139,37,M,5163,Divorcé(e),Consulting,Manager,5,80,17,1,0,3,2,2,4,4,4,139,3,Non,14 %,Non,1,2,1,139,2,2,Infra & Cloud,Y,Aucun,0,0
140,59,F,18844,Marié(e),Ressources Humaines,Senior Manager,9,80,30,3,2,3,2,5,4,4,3,140,4,Non,21 %,Non,1,3,1,140,2,4,Ressources Humaines,Y,Aucun,2,2
141,50,F,18172,Marié(e),Consulting,Directeur Technique,3,80,28,8,3,1,3,5,2,1,2,141,3,Oui,19 %,Non,0,1,1,141,1,3,Infra & Cloud,Y,Frequent,0,7
142,25,M,5744,Célibataire,Commercial,Cadre Commercial,1,80,6,6,4,3,2,2,3,4,3,142,3,Oui,11 %,Oui,0,1,1,142,5,3,Marketing,Y,Occasionnel,0,3
143,25,M,2889,Marié(e),Consulting,Assistant de Direction,1,80,2,2,2,4,2,1,4,3,3,143,3,Non,11 %,Non,2,2,1,143,7,1,Transformation Digitale,Y,Occasionnel,2,1
144,22,F,2871,Célibataire,Consulting,Consultant,1,80,1,0,0,2,3,1,4,3,3,144,3,Non,15 %,Non,0,5,1,144,15,3,Transformation Digitale,Y,Occasionnel,0,0
145,51,F,7484,Célibataire,Consulting,Manager,3,80,23,13,12,1,2,3,1,3,2,145,4,Non,20 %,Non,0,1,1,145,1,4,Transformation Digitale,Y,Frequent,12,8
147,34,M,6074,Célibataire,Consulting,Consultant,1,80,9,9,7,1,1,2,3,4,3,147,4,Oui,24 %,Oui,0,3,1,147,7,3,Infra & Cloud,Y,Frequent,0,6
148,54,F,17328,Célibataire,Ressources Humaines,Senior Manager,2,80,23,5,3,4,4,4,4,3,3,148,3,Oui,12 %,Non,0,3,1,148,26,3,Ressources Humaines,Y,Aucun,4,4
150,24,M,2774,Marié(e),Consulting,Consultant,0,80,6,5,3,2,3,1,3,3,3,150,3,Non,12 %,Non,1,2,1,150,18,1,Infra & Cloud,Y,Occasionnel,1,2
151,34,F,4505,Divorcé(e),Consulting,Assistant de Direction,6,80,12,1,0,3,2,2,2,3,3,151,3,Non,15 %,Non,1,3,1,151,6,4,Infra & Cloud,Y,Occasionnel,0,0
152,37,M,7428,Célibataire,Commercial,Cadre Commercial,2,80,12,5,3,3,3,3,4,1,3,152,3,Non,12 %,Non,0,3,1,152,3,3,Infra & Cloud,Y,Occasionnel,1,3
153,34,F,11631,Célibataire,Consulting,Senior Manager,2,80,14,11,10,3,2,3,1,4,3,153,3,Non,12 %,Non,0,6,1,153,5,3,Transformation Digitale,Y,Occasionnel,5,8
154,36,F,9738,Marié(e),Commercial,Cadre Commercial,0,80,10,9,7,2,3,3,4,3,3,154,3,Non,14 %,Non,1,6,1,154,11,2,Entrepreunariat,Y,Frequent,2,8
155,36,F,2835,Divorcé(e),Consulting,Consultant,5,80,7,1,0,1,3,1,4,1,3,155,4,Non,22 %,Non,1,2,1,155,3,2,Infra & Cloud,Y,Occasionnel,0,0
